symbol,feature,period,horizon_minutes,threshold,events,gross_mean,net_mean,median_net,win_rate,trade_sharpe
ETHUSDT,sig_lead_follow,selection,15,1.5,5521,3.0135702737258252e-05,-0.0009698642972627421,-0.0008935862939146713,0.3647889875022641,-13.245425918446768
ETHUSDT,sig_lead_follow,holdout,15,1.5,2782,-0.00010342392302730066,-0.001103423923027301,-0.0011124614614537722,0.295470884255931,-15.55794664727827
ETHUSDT,sig_lead_follow,selection,15,2.0,2585,4.799804257289276e-05,-0.0009520019574271077,-0.0008975252344109999,0.3798839458413926,-7.700924938100868
ETHUSDT,sig_lead_follow,holdout,15,2.0,1321,-5.0131505435337984e-05,-0.0010501315054353383,-0.0011302504401566873,0.315669947009841,-9.036940031551584
ETHUSDT,sig_lead_follow,selection,15,2.5,1255,-0.0002498059953499888,-0.0012498059953499894,-0.0009555654299046026,0.3752988047808765,-5.877739774769872
ETHUSDT,sig_lead_follow,holdout,15,2.5,630,-5.602523012129057e-05,-0.0010560252301212907,-0.0011625793389291586,0.3333333333333333,-5.809919297313354
ETHUSDT,sig_lead_follow,selection,30,1.5,5521,1.2639941319920705e-06,-0.0009987360058680084,-0.0009591561022354025,0.39159572541206306,-10.096662978446455
ETHUSDT,sig_lead_follow,holdout,30,1.5,2781,-9.025097535318822e-06,-0.001009025097535319,-0.001017181097356711,0.35382955771305286,-10.834317280084713
ETHUSDT,sig_lead_follow,selection,30,2.0,2585,0.00015907011946936694,-0.0008409298805306335,-0.0009353033464342122,0.40309477756286266,-5.196912131022848
ETHUSDT,sig_lead_follow,holdout,30,2.0,1321,3.7751281196505e-05,-0.0009622487188034954,-0.0009355519971444562,0.3709311127933384,-6.318789603773712
ETHUSDT,sig_lead_follow,selection,30,2.5,1255,5.17120537086972e-05,-0.0009482879462913034,-0.0009512979106801591,0.4119521912350598,-3.346835115973286
ETHUSDT,sig_lead_follow,holdout,30,2.5,630,0.00010941214639583822,-0.0008905878536041622,-0.0008681303825686095,0.38095238095238093,-3.681783888643461
ETHUSDT,sig_lead_follow,selection,60,1.5,5521,0.00023706415794850182,-0.0007629358420514988,-0.000801252111696348,0.43343597174424925,-5.92866180605344
ETHUSDT,sig_lead_follow,holdout,60,1.5,2781,-3.6338199068414394e-06,-0.0010036338199068417,-0.0009279733501393874,0.3969795037756203,-7.743093017369957
ETHUSDT,sig_lead_follow,selection,60,2.0,2585,0.000494823861425,-0.0005051761385750006,-0.0007115800605682612,0.44990328820116054,-2.508760775349244
ETHUSDT,sig_lead_follow,holdout,60,2.0,1321,-6.5758389487609965e-06,-0.0010065758389487614,-0.0009512884212578001,0.3981831945495837,-4.812599280635723
ETHUSDT,sig_lead_follow,selection,60,2.5,1255,0.0004472195048305832,-0.0005527804951694175,-0.0007033667869678064,0.45338645418326695,-1.653461086478633
ETHUSDT,sig_lead_follow,holdout,60,2.5,630,-0.00011732324219109227,-0.0011173232421910928,-0.0011152510493894754,0.40476190476190477,-3.447447489684203
SOLUSDT,sig_price_mr,selection,15,1.5,6263,0.0001555612798003441,-0.0008444387201996562,-0.0009282021826536582,0.3643621267763053,-12.750157840939755
SOLUSDT,sig_price_mr,holdout,15,1.5,2876,-0.00011421811346409939,-0.0011142181134640998,-0.0011360094341804619,0.3143254520166898,-14.770610069224238
SOLUSDT,sig_price_mr,selection,15,2.0,2954,5.72311074023577e-05,-0.0009427688925976427,-0.0009634436093774448,0.36865267433987814,-8.613995043761939
SOLUSDT,sig_price_mr,holdout,15,2.0,1427,-0.00015027325794946846,-0.001150273257949469,-0.0011221001221002327,0.32305536089698667,-10.084599168384203
SOLUSDT,sig_price_mr,selection,15,2.5,1444,0.0001722696900930923,-0.0008277303099069081,-0.0008827266606663544,0.39196675900277006,-4.320813918836416
SOLUSDT,sig_price_mr,holdout,15,2.5,529,-9.290407079892925e-05,-0.0010929040707989294,-0.001136425648021854,0.3534971644612476,-4.70447466196091
SOLUSDT,sig_price_mr,selection,30,1.5,6263,0.00026966652252256596,-0.0007303334774774345,-0.0008790615173749341,0.40747245728883924,-7.956450211073044
SOLUSDT,sig_price_mr,holdout,30,1.5,2876,-0.0001421435087831991,-0.0011421435087831996,-0.001234041661634099,0.3588317107093185,-11.234381144420714
SOLUSDT,sig_price_mr,selection,30,2.0,2954,0.00013960714584126334,-0.0008603928541587371,-0.0009205200785941661,0.40724441435341907,-5.75710207163926
SOLUSDT,sig_price_mr,holdout,30,2.0,1427,-1.4268805382438411e-05,-0.001014268805382439,-0.0012337540906964808,0.3749124036440084,-6.809241656652002
